user_id,city,order_frequency,avg_order_value,segment,restaurant_id,cuisine,rating,item_id,category,hour_of_day,is_lunch,is_dinner,cart_size,addon_accepted
46,Chicago,8,37.83382060835647,Premium,200,American,2.8,64,Main,19,False,True,1,True
160,Phoenix,5,20.943007650403096,Budget,113,Chinese,3.0,1823,Main,20,False,True,4,False
191,Houston,7,14.323478782998217,Budget,101,French,4.2,1839,Drink,20,False,True,5,False
386,Houston,5,6.162071464388833,Budget,27,French,3.5,736,Drink,14,True,False,1,True
853,Chicago,6,12.708265046392816,Budget,70,Japanese,4.2,1743,Dessert,22,False,False,2,False
552,Los Angeles,8,9.469504887152526,Budget,110,Indian,3.7,1246,Dessert,22,False,False,5,False
261,San Antonio,3,8.228064768340612,Budget,96,Japanese,4.3,396,Dessert,8,False,False,2,False
378,Phoenix,10,5.357007915102414,Budget,159,Japanese,4.1,1391,Side,16,False,False,5,True
668,Philadelphia,5,17.058555955035537,Premium,42,Mexican,4.0,1555,Main,18,False,True,4,True
422,Dallas,4,6.404639266428612,Budget,131,French,4.4,879,Side,13,True,False,4,True
606,Los Angeles,4,16.072542028667094,Budget,44,French,5.0,1490,Main,12,True,False,5,True
651,New York,5,33.0579577668825,Premium,114,Greek,4.1,1086,Dessert,17,False,False,4,False
102,Los Angeles,10,17.816509854227633,Budget,100,Mexican,4.0,1945,Side,20,False,True,4,True
178,San Antonio,7,8.63583282849754,Budget,188,Italian,4.9,496,Drink,13,True,False,2,False
28,San Diego,6,23.41955546853472,Budget,31,Italian,4.0,1231,Side,12,True,False,3,False
679,Chicago,5,37.29379201023009,Premium,186,Indian,3.4,747,Dessert,19,False,True,4,True
515,San Diego,6,27.6669870062444,Premium,23,Thai,4.6,1052,Drink,15,False,False,2,False
882,Dallas,4,17.14336995625868,Budget,160,Chinese,4.3,1197,Dessert,11,True,False,1,False
321,San Diego,7,28.620041141278815,Premium,19,Indian,4.0,965,Dessert,17,False,False,5,False
743,San Diego,4,13.505631383582582,Premium,40,Greek,3.6,1478,Dessert,14,True,False,2,False
293,Houston,5,9.183033638943218,Budget,169,Mexican,3.9,1003,Main,21,False,True,1,True
896,New York,8,20.562229989796514,Budget,146,Italian,3.7,920,Side,9,False,False,1,False
708,Chicago,6,14.589818839767652,Budget,45,American,4.1,1906,Drink,17,False,False,1,True
272,San Antonio,6,29.551242736096825,Budget,10,French,4.3,1915,Main,17,False,False,4,False
515,San Diego,6,27.6669870062444,Premium,64,Chinese,4.1,231,Drink,8,False,False,5,False
372,San Diego,5,12.216961984100422,Premium,156,Chinese,2.8,684,Drink,15,False,False,4,True
345,Dallas,6,21.600027639022514,Budget,106,Thai,3.9,537,Drink,8,False,False,2,False
664,San Antonio,2,38.54220852017067,Premium,77,American,3.2,428,Drink,10,False,False,5,False
19,Dallas,4,5.324996084117723,Premium,173,French,3.7,1880,Drink,18,False,True,2,True
659,Philadelphia,6,41.587116061816936,Premium,196,Indian,4.3,1498,Drink,12,True,False,1,False
395,San Diego,7,45.087555965103974,Premium,119,Korean,3.2,228,Drink,14,True,False,4,False
748,San Diego,9,11.937977347217917,Budget,156,Chinese,2.8,1963,Main,22,False,False,1,True
575,Chicago,6,22.549727040984973,Premium,42,Mexican,4.0,231,Main,22,False,False,5,False
791,Dallas,4,6.704229059060094,Budget,20,Greek,2.8,1137,Side,11,True,False,3,False
997,San Jose,7,13.870370507423162,Premium,137,Greek,5.0,759,Dessert,22,False,False,4,False
474,New York,6,23.676113241139934,Budget,120,Chinese,5.0,1681,Drink,10,False,False,3,False
29,Philadelphia,8,23.25537380325288,Premium,199,Mexican,3.5,1538,Side,9,False,False,5,False
689,Phoenix,7,11.798366833186277,Budget,104,Korean,4.0,451,Side,20,False,True,1,False
960,New York,6,7.22076203300903,Budget,195,Indian,3.6,1367,Dessert,21,False,True,5,False
132,Los Angeles,5,21.1502334024507,Budget,14,Japanese,3.8,920,Drink,14,True,False,4,False
995,Dallas,5,7.627628421994414,Budget,35,Chinese,3.1,114,Dessert,20,False,True,3,False
16,San Antonio,7,33.82654362600106,Premium,3,French,3.9,441,Dessert,21,False,True,5,True
889,San Jose,6,15.572912420956444,Budget,99,Indian,4.1,180,Side,9,False,False,3,False
143,Los Angeles,4,19.35175833648577,Premium,69,French,4.2,1620,Dessert,20,False,True,2,True
571,Chicago,6,5.289376476363516,Budget,116,Greek,3.9,617,Main,16,False,False,5,True
864,New York,3,16.559056506194317,Budget,140,French,3.2,951,Side,12,True,False,2,True
603,Houston,6,15.073252708296737,Budget,133,Indian,4.3,1580,Drink,16,False,False,1,False
381,New York,7,8.023931784457407,Budget,169,Mexican,3.9,456,Side,13,True,False,3,True
424,Philadelphia,7,20.223349855516954,Budget,13,American,4.7,703,Main,10,False,False,3,False
569,Houston,3,7.131872271708684,Budget,34,Korean,3.6,1089,Drink,15,False,False,2,False
992,San Diego,2,17.1747041372912,Budget,80,Korean,3.5,952,Main,21,False,True,2,True
223,Chicago,9,8.563372293738006,Budget,9,Thai,3.6,1439,Drink,21,False,True,2,True
835,Chicago,2,17.486225338883653,Budget,93,American,4.6,1127,Side,20,False,True,2,True
236,Los Angeles,3,25.671028708433127,Budget,147,Greek,3.4,1987,Drink,17,False,False,4,True
676,Houston,3,14.970095540021603,Budget,100,Mexican,4.0,1033,Main,13,True,False,4,False
322,San Diego,6,13.68921183916565,Budget,160,Chinese,4.3,832,Drink,21,False,True,5,True
401,San Jose,5,11.662482091022028,Premium,12,Indian,4.0,1050,Drink,12,True,False,5,True
540,San Jose,12,17.672941112910355,Premium,43,Greek,4.6,1017,Main,8,False,False,2,False
693,New York,5,11.661377765067577,Budget,94,Chinese,5.0,1898,Main,16,False,False,4,True
857,Los Angeles,4,11.031532586836363,Budget,168,Mexican,3.1,1000,Side,21,False,True,4,False
302,Houston,3,50.354693807154185,Premium,38,French,4.7,1202,Drink,9,False,False,4,False
586,New York,3,8.836604298577448,Budget,199,Mexican,3.5,816,Side,19,False,True,3,True
902,San Diego,6,8.043719821447507,Budget,148,French,4.1,1390,Drink,14,True,False,2,False
688,Los Angeles,6,8.789833397835208,Budget,3,French,3.9,266,Main,17,False,False,3,False
1,Los Angeles,6,44.23898472752265,Premium,83,American,3.3,1994,Drink,12,True,False,5,True
942,San Antonio,6,11.114993986095481,Budget,170,Thai,3.6,1759,Side,13,True,False,5,True
1,Los Angeles,6,44.23898472752265,Premium,157,Italian,3.4,496,Side,11,True,False,4,True
416,San Antonio,5,6.194518927352014,Budget,64,Chinese,4.1,343,Dessert,21,False,True,3,False
696,Dallas,10,6.727928525203438,Budget,82,Italian,2.8,1267,Main,17,False,False,2,True
75,Philadelphia,7,13.26310939289843,Budget,1,Thai,3.9,4,Drink,19,False,True,1,True
344,Houston,4,20.12138701719167,Budget,96,Japanese,4.3,1927,Main,14,True,False,5,False
374,Phoenix,2,13.411564834516447,Budget,154,Indian,4.6,771,Dessert,20,False,True,2,False
524,San Diego,3,14.074460338064704,Budget,145,Korean,4.0,50,Main,20,False,True,4,True
285,Dallas,6,33.757221941098585,Premium,50,French,3.8,1205,Drink,10,False,False,4,False
341,Dallas,9,7.745669008688036,Budget,11,French,3.2,510,Dessert,12,True,False,4,True
69,Dallas,7,4.212482485163283,Budget,12,Indian,4.0,342,Main,9,False,False,4,False
842,Los Angeles,5,9.939904149830678,Budget,82,Italian,2.8,1172,Side,21,False,True,2,True
126,Dallas,3,13.649002320182873,Premium,97,Korean,5.0,1566,Drink,19,False,True,4,True
475,Houston,9,17.319288245107977,Budget,28,Mexican,4.1,319,Dessert,16,False,False,3,False
990,Phoenix,5,15.656647448402365,Budget,150,Italian,4.3,184,Main,8,False,False,3,False
78,Los Angeles,8,8.336389898654726,Premium,122,Greek,4.1,1288,Dessert,11,True,False,5,False
95,New York,3,9.05940131528205,Budget,102,Mexican,4.4,983,Drink,20,False,True,2,True
191,Houston,7,14.323478782998217,Budget,20,Greek,2.8,935,Dessert,15,False,False,5,False
934,San Antonio,10,16.937450429375673,Budget,56,Korean,4.3,430,Drink,14,True,False,1,False
596,San Jose,6,17.085342090914803,Budget,149,American,4.2,1008,Dessert,21,False,True,2,True
531,Dallas,5,22.200856625530985,Budget,38,French,4.7,705,Side,18,False,True,4,False
218,Houston,7,27.431672628161042,Budget,97,Korean,5.0,760,Dessert,9,False,False,1,True
954,New York,6,4.100119558531982,Budget,5,Mexican,3.8,1434,Dessert,13,True,False,3,False
803,San Diego,5,14.958430331311474,Budget,13,American,4.7,40,Side,17,False,False,3,False
533,Dallas,5,11.317373424065904,Premium,81,Korean,3.8,1091,Dessert,20,False,True,4,False
473,San Diego,7,16.627118303101806,Budget,30,Italian,4.3,317,Side,16,False,False,5,False
733,Dallas,7,6.690265730373263,Premium,105,Japanese,2.9,705,Dessert,10,False,False,2,False
92,Dallas,7,31.66721951617433,Premium,4,Chinese,4.4,1872,Dessert,18,False,True,2,True
306,Philadelphia,4,21.79660849301945,Budget,58,Mexican,3.7,1340,Side,10,False,False,2,False
